latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
20.2128,82.5711,337.65,0.46,0.39,2026-01-26,0735,N,VIIRS,n,2.0NRT,304,5.15,D
20.84071,86.36269,333.71,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.61,2.43,D
18.35582,73.32969,367,0.61,0.71,2026-01-26,0735,N,VIIRS,h,2.0NRT,293.45,31.96,D
20.85286,86.39854,344,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,304.09,4.48,D
18.55135,74.12504,332.11,0.54,0.68,2026-01-26,0735,N,VIIRS,n,2.0NRT,293.39,5.51,D
20.88768,86.38129,340.62,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.03,3.89,D
20.79567,85.70621,332.85,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.73,1.57,D
20.75945,85.29699,332.63,0.39,0.36,2026-01-26,0735,N,VIIRS,l,2.0NRT,305.66,4.82,D
20.94248,86.47824,333.85,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.07,2.73,D
20.79342,85.25311,332.93,0.39,0.36,2026-01-26,0735,N,VIIRS,l,2.0NRT,303.7,6.05,D
20.80781,85.25815,332.88,0.39,0.36,2026-01-26,0735,N,VIIRS,l,2.0NRT,303.04,3.07,D
20.43535,82.93083,333.63,0.45,0.39,2026-01-26,0735,N,VIIRS,n,2.0NRT,304.14,2.65,D
20.94134,86.06172,338.6,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,307.1,2.35,D
20.56908,83.7072,333.25,0.42,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.7,2.91,D
18.69869,74.06582,330.8,0.54,0.68,2026-01-26,0735,N,VIIRS,n,2.0NRT,292.3,2.14,D
20.99176,86.30663,342.49,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.3,3.84,D
20.9529,86.04841,330.24,0.38,0.36,2026-01-26,0735,N,VIIRS,l,2.0NRT,304.17,2.11,D
20.99563,86.30976,353.22,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.5,6.07,D
20.99508,86.30607,342.28,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.12,4.12,D
20.99895,86.3092,335.17,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.31,6.07,D
19.38166,77.12901,343.08,0.33,0.56,2026-01-26,0735,N,VIIRS,n,2.0NRT,296.92,6.86,D
19.38102,77.12587,342.61,0.33,0.56,2026-01-26,0735,N,VIIRS,n,2.0NRT,296.6,4.62,D
20.96338,86.05039,330.21,0.38,0.36,2026-01-26,0735,N,VIIRS,l,2.0NRT,303.61,3.67,D
20.96442,86.01246,331.27,0.38,0.36,2026-01-26,0735,N,VIIRS,l,2.0NRT,304.02,4.09,D
20.96387,86.00877,332.55,0.38,0.36,2026-01-26,0735,N,VIIRS,l,2.0NRT,304.54,3.39,D
19.37858,77.12783,367,0.33,0.55,2026-01-26,0735,N,VIIRS,h,2.0NRT,299.18,8.5,D
21.07912,86.60366,333.75,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.13,3.22,D
20.93655,85.65467,341.19,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.63,4.46,D
21.08245,86.6031,344.57,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.33,3.22,D
20.74483,84.31104,340.72,0.4,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.37,4.66,D
20.97038,85.72047,348.84,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.96,6.1,D
20.86362,84.98938,339.26,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,296.85,2.15,D
21.00597,85.84258,334.41,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,305.36,1.94,D
20.79043,84.44361,334.96,0.4,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,305.01,3.02,D
20.88958,84.98093,335.4,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,300.69,4.98,D
21.08867,86.18743,336.66,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.73,2.19,D
19.45352,76.95046,350.87,0.34,0.56,2026-01-26,0735,N,VIIRS,n,2.0NRT,297.63,5.94,D
20.80871,84.34248,329.55,0.4,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.77,1.09,D
20.7927,84.19985,336.02,0.4,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.2,3.08,D
21.10546,86.14262,336.3,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.65,6.47,D
